127.0.0.1 - - [11/Jun/2017:07:12:25 +0800] "GET / HTTP/1.1" 404 957
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:27 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/01.jpg HTTP/1.1" 200 6884
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/css/content.css HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/07.jpg HTTP/1.1" 200 7644
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/04.jpg HTTP/1.1" 200 7115
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/03.jpg HTTP/1.1" 200 7097
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/06.jpg HTTP/1.1" 200 40263
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/05.jpg HTTP/1.1" 200 7792
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/02.jpg HTTP/1.1" 200 44410
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/08.jpg HTTP/1.1" 200 6609
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/09.jpg HTTP/1.1" 200 8342
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /StudentInfo01/img/10.jpg HTTP/1.1" 200 14422
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:28 +0800] "GET /favicon.ico HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:45 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:45 +0800] "GET /StudentInfo01/css/content.css HTTP/1.1" 200 675
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:45 +0800] "GET /favicon.ico HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:48 +0800] "GET /StudentInfo01/css/content.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:48 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:48 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:48 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:12:51 +0800] "GET /StudentInfo01/css/content.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:21:06 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:21:06 +0800] "GET /StudentInfo01/css/content.css HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:21:06 +0800] "GET /favicon.ico HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:22:45 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:22:45 +0800] "GET /StudentInfo01/css/content.css HTTP/1.1" 200 682
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:22:45 +0800] "GET /StudentInfo01/msg04.jsp HTTP/1.1" 200 23665
0:0:0:0:0:0:0:1 - - [11/Jun/2017:07:22:45 +0800] "GET /StudentInfo01/css/content.css HTTP/1.1" 304 -
